name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
"Tomatoes, raw, orange",100,16,0.2,0,0,3.18,0.9,0,"['Tomatoes', 'Raw', 'Orange']"
"Tomatoes, raw, yellow",100,15,0.3,0,0,2.98,0.7,0,"['Tomatoes', 'Raw', 'Yellow']"
"Egg custards, dry mix",100,410,6.4,2,258,82.80,0.0,0,"['Egg Custards', 'Dry Mix']"
"Peanut flour, low fat",100,428,22,3,0,31.27,15.8,0,"['Peanut Flour', 'Low Fat']"
"Fish, smoked, haddock",100,116,1,0.2,77,0.00,0.0,0.00,"['Fish', 'Smoked', 'Haddock']"
"DENNY'S, french fries",100,282,14,2.5,0,35.20,3.5,0.85,"[""Denny'S"", 'French Fries']"
"Ground turkey, cooked",100,203,10,2.7,93,0.00,0.0,0.00,"['Ground Turkey', 'Cooked']"
"MURRAY, Vanilla Wafer",100,461,17,5.7,1,72.90,1.4,31.50,"['Murray', 'Vanilla Wafer']"
"WENDY'S, french fries",100,301,14,2.8,0,39.73,4.0,0.40,"[""Wendy'S"", 'French Fries']"
"Bread, toasted, wheat",100,313,4.3,1,0,55.77,4.7,6.42,"['Bread', 'Toasted', 'Wheat']"
"Danish pastry, cheese",100,374,22,6.8,23,37.20,1.0,6.95,"['Danish Pastry', 'Cheese']"
"Nuts, glazed, walnuts",100,500,36,3.6,0,47.59,3.6,32.14,"['Nuts', 'Glazed', 'Walnuts']"
"Spices, garlic powder",100,331,0.7,0.2,0,72.73,9.0,2.43,"['Spices', 'Garlic Powder']"
"Oil, soybean lecithin",100,763,100,15,0,0.00,0.0,0.00,"['Oil', 'Soybean Lecithin']"
"Egg, fresh, raw, yolk",100,322,27,9.6,1085,3.59,0.0,0.56,"['Egg', 'Fresh', 'Raw', 'Yolk']"
"Fireweed, raw, leaves",100,103,2.8,0,0,19.22,10.6,0,"['Fireweed', 'Raw', 'Leaves']"
"Beef, pastrami, cured",100,147,5.8,2.7,68,0.36,0.0,0.10,"['Beef', 'Pastrami', 'Cured']"
"Frankfurter, meatless",100,233,14,1.7,0,7.70,3.9,0.00,"['Frankfurter', 'Meatless']"
"Emu, raw, flat fillet",100,102,0.7,0.2,71,0.00,0.0,0.00,"['Emu', 'Raw', 'Flat Fillet']"
"Emu, raw, inside drum",100,108,1.5,0.4,67,0.00,0.0,0.00,"['Emu', 'Raw', 'Inside Drum']"
"Ice creams, chocolate",100,216,11,6.8,34,28.20,1.2,25.36,"['Ice Creams', 'Chocolate']"
"Snacks, potato sticks",100,522,34,8.9,0,53.30,3.4,0.22,"['Snacks', 'Potato Sticks']"
"USDA Commodity, salsa",100,36,0.2,0,0,7.00,1.4,0,"['Usda Commodity', 'Salsa']"
"Figs, uncooked, dried",100,249,0.9,0.1,0,63.87,9.8,47.92,"['Figs', 'Uncooked', 'Dried']"
"Game meat, raw, horse",100,133,4.6,1.4,52,0.00,0.0,0,"['Game Meat', 'Raw', 'Horse']"
"Syrup, fruit flavored",100,261,0,0,0,65.10,0.0,65.00,"['Syrup', 'Fruit Flavored']"
"Broccoli, raw, stalks",100,28,0.4,0.1,0,5.24,0,0,"['Broccoli', 'Raw', 'Stalks']"
