name,serving_size,calories,total_fat,saturated_fat,cholesterol_mg,carbohydrate,fiber,sugars,keywords
Oven-roasted chicken breast roll,100,134,7.7,2.5,39,1.79,0.0,0.43,['Oven-Roasted Chicken Breast Roll']
"Salad dressing, russian dressing",100,355,26,2.4,0,31.90,0.7,17.68,"['Salad Dressing', 'Russian Dressing']"
"Oil, original, PAM cooking spray",100,792,79,5,0,20.69,0.0,0.00,"['Oil', 'Original', 'Pam Cooking Spray']"
"Restaurant, corn, tamale, Latino",100,186,7.2,2.6,17,26.68,3.2,7.42,"['Restaurant', 'Corn', 'Tamale', 'Latino']"
"Restaurant, pork, tamale, Latino",100,174,9,2.7,20,15.75,2.4,0.46,"['Restaurant', 'Pork', 'Tamale', 'Latino']"
"Fish, dry heat, cooked, mahimahi",100,109,0.9,0.2,94,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Mahimahi']"
"Emu, broiled, cooked, fan fillet",100,154,2.3,0.6,82,0.00,0.0,0.00,"['Emu', 'Broiled', 'Cooked', 'Fan Fillet']"
"Beans, raw, mature seeds, yellow",100,345,2.6,0.7,0,60.70,25.1,0,"['Beans', 'Raw', 'Mature Seeds', 'Yellow']"
"KEEBLER, Toasted Coconut Cookies",100,475,20,10,0,69.90,2.3,41.20,"['Keebler', 'Toasted Coconut Cookies']"
"Fish, dry heat, cooked, milkfish",100,190,8.6,0,67,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Milkfish']"
"Fish, dry heat, cooked, monkfish",100,97,2,0,32,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Monkfish']"
"Babyfood, apple and grape, juice",100,46,0.2,0,0,11.34,0.1,10.90,"['Babyfood', 'Apple And Grape', 'Juice']"
"Pheasant, raw, meat only, breast",100,133,3.3,1.1,58,0.00,0.0,0,"['Pheasant', 'Raw', 'Meat Only', 'Breast']"
"Burrito, frozen, bean and cheese",100,221,6.3,1.3,2,34.01,3.4,3.21,"['Burrito', 'Frozen', 'Bean And Cheese']"
"Potatoes, home-prepared, o'brien",100,81,1.3,0.8,4,15.47,0,0,"['Potatoes', 'Home-Prepared', ""O'Brien""]"
"MORI-NU, lite firm, silken, Tofu",100,37,0.8,0.1,0,1.10,0.0,0.45,"['Mori-Nu', 'Lite Firm', 'Silken', 'Tofu']"
"Tofu, prepared with nigari, hard",100,145,10,1.4,0,4.39,0.6,0,"['Tofu', 'Prepared With Nigari', 'Hard']"
"Meatballs, Italian style, frozen",100,286,22,7.6,66,8.06,2.3,3.47,"['Meatballs', 'Italian Style', 'Frozen']"
"Kielbasa, unheated, fully cooked",100,325,30,9.7,61,3.72,0.0,2.05,"['Kielbasa', 'Unheated', 'Fully Cooked']"
"Alcoholic beverage, whiskey sour",100,149,0,0,0,13.17,0.0,0,"['Alcoholic Beverage', 'Whiskey Sour']"
"WEND'YS, Crispy Chicken Sandwich",100,278,14,2.6,0,26.36,0,3.13,"[""Wend'Ys"", 'Crispy Chicken Sandwich']"
"BURGER KING, Double Cheeseburger",100,282,16,6.9,0,17.43,0,4.17,"['Burger King', 'Double Cheeseburger']"
"SUNSHINE, BIG Crackers, CHEEZ-IT",100,507,26,6.1,1,57.40,2.4,0.50,"['Sunshine', 'Big Crackers', 'Cheez-It']"
"Babyfood, junior, cherry cobbler",100,78,0.1,0,0,19.20,0.2,10.39,"['Babyfood', 'Junior', 'Cherry Cobbler']"
"Danish pastry, unenriched, lemon",100,371,19,2.8,40,47.80,1.9,0,"['Danish Pastry', 'Unenriched', 'Lemon']"
"APPLEBEE'S, Double Crunch Shrimp",100,323,19,3.4,86,25.96,2.6,1.07,"[""Applebee'S"", 'Double Crunch Shrimp']"
"BURGER KING, french toast sticks",100,349,18,4,0,41.21,1.4,9.89,"['Burger King', 'French Toast Sticks']"
"Mutton, roasted (Navajo), cooked",100,234,11,5.1,109,0.08,0,0,"['Mutton', 'Roasted (Navajo)', 'Cooked']"
"Fish, raw, Atlantic, ocean perch",100,79,1.5,0.3,52,0.00,0.0,0.00,"['Fish', 'Raw', 'Atlantic', 'Ocean Perch']"
"Cereals, Dry, Quick Oats, QUAKER",100,371,6.9,1.1,0,68.18,9.4,1.42,"['Cereals', 'Dry', 'Quick Oats', 'Quaker']"
"Cookies, reduced fat, shortbread",100,451,14,4.7,0,75.99,1.3,21.65,"['Cookies', 'Reduced Fat', 'Shortbread']"
"Potatoes, drained solids, canned",100,60,0.2,0.1,0,13.61,2.3,0,"['Potatoes', 'Drained Solids', 'Canned']"
"T.G.I. FRIDAY'S, chicken fingers",100,325,20,3.9,46,16.84,0.8,0.23,"[""T.G.I. Friday'S"", 'Chicken Fingers']"
"Babyfood, apple and peach, juice",100,43,0.1,0,0,10.50,0.1,9.59,"['Babyfood', 'Apple And Peach', 'Juice']"
"Seeds, roasted, breadfruit seeds",100,207,2.7,0.7,0,40.10,6.0,0,"['Seeds', 'Roasted', 'Breadfruit Seeds']"
"Potato puffs, unprepared, frozen",100,178,8.7,1.4,0,24.80,2.3,0.28,"['Potato Puffs', 'Unprepared', 'Frozen']"
"Pie, prepared from recipe, pecan",100,412,22,4,87,52.20,0,0,"['Pie', 'Prepared From Recipe', 'Pecan']"
"Pie, prepared from recipe, mince",100,289,11,2.7,0,48.00,2.6,28.31,"['Pie', 'Prepared From Recipe', 'Mince']"
"Nuts, dried, japanese, chestnuts",100,360,1.2,0.2,0,81.43,0,0,"['Nuts', 'Dried', 'Japanese', 'Chestnuts']"
"McDONALD'S, Hotcakes and Sausage",100,294,13,3.6,19,37.55,1.6,7.29,"[""Mcdonald'S"", 'Hotcakes And Sausage']"
"KELLOGG'S, Original, SIMPLY EGGO",100,294,11,2.8,26,43.30,1.3,5.90,"[""Kellogg'S"", 'Original', 'Simply Eggo']"
"Pie, prepared from recipe, apple",100,265,13,3.1,0,37.10,0,0,"['Pie', 'Prepared From Recipe', 'Apple']"
"Beverages, root beer, carbonated",100,41,0,0,0,10.60,0.0,10.60,"['Beverages', 'Root Beer', 'Carbonated']"
"Emu, pan-broiled, cooked, ground",100,163,4.7,1.2,87,0.00,0.0,0.00,"['Emu', 'Pan-Broiled', 'Cooked', 'Ground']"
"Cheese, queso chihuahua, mexican",100,374,30,19,105,5.56,0.0,5.56,"['Cheese', 'Queso Chihuahua', 'Mexican']"
"KEEBLER, Original Crackers, CLUB",100,486,22,3.6,0,66.20,1.9,8.90,"['Keebler', 'Original Crackers', 'Club']"
"Pears, uncooked, sulfured, dried",100,262,0.6,0,0,69.70,7.5,62.20,"['Pears', 'Uncooked', 'Sulfured', 'Dried']"
"Soup, home-prepared, beef, stock",100,13,0.1,0,0,1.20,0.0,0.54,"['Soup', 'Home-Prepared', 'Beef', 'Stock']"
"Soup, home-prepared, fish, stock",100,16,0.8,0.2,1,0.00,0.0,0.00,"['Soup', 'Home-Prepared', 'Fish', 'Stock']"
"Fish, raw, skipjack, fresh, tuna",100,103,1,0.3,47,0.00,0.0,0,"['Fish', 'Raw', 'Skipjack', 'Fresh', 'Tuna']"
"Noodles, cooked, somen, japanese",100,131,0.2,0,0,27.54,0,0,"['Noodles', 'Cooked', 'Somen', 'Japanese']"
Cheesecake commercially prepared,100,321,23,9.9,55,25.50,0.4,21.80,['Cheesecake Commercially Prepared']
"Crackers, GAMESA SABROSAS, cream",100,484,20,5.4,0,64.55,2.4,9.37,"['Crackers', 'Gamesa Sabrosas', 'Cream']"
"Fish, raw, pumpkin seed, sunfish",100,89,0.7,0.1,67,0.00,0.0,0,"['Fish', 'Raw', 'Pumpkin Seed', 'Sunfish']"
"Sauce, original, KRAFT, barbecue",100,172,0.6,0,0,40.77,0.4,32.26,"['Sauce', 'Original', 'Kraft', 'Barbecue']"
"Snacks, rice-based, oriental mix",100,506,26,3.8,0,51.62,13.2,3.00,"['Snacks', 'Rice-Based', 'Oriental Mix']"
"Chicken, raw, all classes, liver",100,119,4.8,1.6,345,0.73,0.0,0.00,"['Chicken', 'Raw', 'All Classes', 'Liver']"
"Chicken, raw, all classes, heart",100,153,9.3,2.7,136,0.71,0.0,0,"['Chicken', 'Raw', 'All Classes', 'Heart']"
"Vegetable juice cocktail, canned",100,22,0.3,0.1,0,3.87,0.5,2.84,"['Vegetable Juice Cocktail', 'Canned']"
"Coriander (cilantro) leaves, raw",100,23,0.5,0,0,3.67,2.8,0.87,"['Coriander (Cilantro) Leaves', 'Raw']"
"Snacks, almond, crisped rice bar",100,458,20,3.8,0,64.60,3.6,0,"['Snacks', 'Almond', 'Crisped Rice Bar']"
"Blueberries, unsweetened, frozen",100,51,0.6,0.1,0,12.17,2.7,8.45,"['Blueberries', 'Unsweetened', 'Frozen']"
"Bread, oat bran, reduced-calorie",100,201,3.2,0.4,0,41.30,12.0,3.52,"['Bread', 'Oat Bran', 'Reduced-Calorie']"
"Bread, toasted, enriched, raisin",100,297,4.8,1.2,0,56.90,4.7,6.18,"['Bread', 'Toasted', 'Enriched', 'Raisin']"
"Bread, protein (includes gluten)",100,245,2.2,0.3,0,43.80,3.0,1.44,"['Bread', 'Protein (Includes Gluten)']"
"Beverages, municipal, tap, water",100,0,0,0,0,0.00,0.0,0.00,"['Beverages', 'Municipal', 'Tap', 'Water']"
"Game meat, roasted, cooked, goat",100,143,3,0.9,75,0.00,0.0,0.00,"['Game Meat', 'Roasted', 'Cooked', 'Goat']"
"Muffins, prepared, dry mix, corn",100,321,10,2.8,62,49.10,2.4,0,"['Muffins', 'Prepared', 'Dry Mix', 'Corn']"
"Chicken, raw, meat only, stewing",100,148,6.3,1.6,63,0.00,0.0,0.00,"['Chicken', 'Raw', 'Meat Only', 'Stewing']"
"Fish, dry heat, cooked, bluefish",100,159,5.4,1.2,76,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Bluefish']"
"Bagels, toasted, cinnamon-raisin",100,294,1.8,0.3,0,59.30,2.5,6.43,"['Bagels', 'Toasted', 'Cinnamon-Raisin']"
"Sweet potato, unprepared, frozen",100,96,0.2,0,0,22.22,1.7,0,"['Sweet Potato', 'Unprepared', 'Frozen']"
"Mashu roots, raw (Alaska Native)",100,135,2.4,0,0,22.60,0,0,"['Mashu Roots', 'Raw (Alaska Native)']"
"CAMPBELL'S, Organic Tomato juice",100,21,0,0,0,4.12,0.8,2.88,"[""Campbell'S"", 'Organic Tomato Juice']"
"Bratwurst, smoked, beef and pork",100,297,26,6.1,78,2.00,0.0,0.00,"['Bratwurst', 'Smoked', 'Beef And Pork']"
"Sausage, smoked, turkey, Italian",100,158,8.8,3.4,53,4.65,0.9,3.20,"['Sausage', 'Smoked', 'Turkey', 'Italian']"
"Beverages, Citrus,  Energy drink",100,45,0,0,0,11.27,0.0,10.42,"['Beverages', 'Citrus', ' Energy Drink']"
"KEEBLER, Holiday Jingles Cookies",100,470,17,5.5,0,73.90,1.5,28.20,"['Keebler', 'Holiday Jingles Cookies']"
"Succotash, raw, (corn and limas)",100,99,1,0.2,0,19.59,3.8,0,"['Succotash', 'Raw', '(Corn And Limas)']"
"Babyfood, strained, turkey, meat",100,111,6.2,1.6,58,1.40,0.0,0.00,"['Babyfood', 'Strained', 'Turkey', 'Meat']"
"Pepperoni, sliced, beef and pork",100,504,46,18,97,1.18,0.0,0.00,"['Pepperoni', 'Sliced', 'Beef And Pork']"
"Cookies, dry mix, chocolate chip",100,497,25,8.3,0,66.10,0,0,"['Cookies', 'Dry Mix', 'Chocolate Chip']"
"Frozen novelties, lime, ice type",100,128,0,0,0,32.60,0.0,32.60,"['Frozen Novelties', 'Lime', 'Ice Type']"
"Salad dressing, lite, buttermilk",100,202,12,1.3,16,21.33,1.1,3.77,"['Salad Dressing', 'Lite', 'Buttermilk']"
"Fish, pickled, Atlantic, herring",100,262,18,2.4,13,9.64,0.0,7.71,"['Fish', 'Pickled', 'Atlantic', 'Herring']"
"Babyfood, apple and prune, juice",100,72,0.1,0,0,18.10,0.1,10.58,"['Babyfood', 'Apple And Prune', 'Juice']"
"Pasta, cooked, corn, gluten-free",100,126,0.7,0.1,0,27.91,4.8,0,"['Pasta', 'Cooked', 'Corn', 'Gluten-Free']"
"Cheese spread, cream cheese base",100,295,29,18,90,3.50,0.0,3.50,"['Cheese Spread', 'Cream Cheese Base']"
"Cheese, with vegetables, cottage",100,95,4.2,2.6,14,3.00,0.1,0.37,"['Cheese', 'With Vegetables', 'Cottage']"
"MOTHER'S, Taffy Sandwich Cookies",100,475,20,10,0,69.90,2.3,41.20,"[""Mother'S"", 'Taffy Sandwich Cookies']"
"PACE, Lime & Garlic Chunky Salsa",100,38,0,0,0,9.38,3.1,6.25,"['Pace', 'Lime & Garlic Chunky Salsa']"
"DENNY'S, spaghetti and meatballs",100,170,8.5,3.1,19,15.51,1.5,2.03,"[""Denny'S"", 'Spaghetti And Meatballs']"
"Beverages, club soda, carbonated",100,0,0,0,0,0.00,0.0,0.00,"['Beverages', 'Club Soda', 'Carbonated']"
"ON THE BORDER, cheese quesadilla",100,394,26,13,59,24.25,2.2,2.04,"['On The Border', 'Cheese Quesadilla']"
"Cabbage, raw, chinese (pak-choi)",100,13,0.2,0,0,2.18,1.0,1.18,"['Cabbage', 'Raw', 'Chinese (Pak-Choi)']"
"Babyfood, strained, pears, fruit",100,42,0.2,0,0,10.80,2.8,6.98,"['Babyfood', 'Strained', 'Pears', 'Fruit']"
"Babyfood, junior, peaches, fruit",100,65,0.3,0,0,14.48,1.3,11.50,"['Babyfood', 'Junior', 'Peaches', 'Fruit']"
"Beef, canned, corned beef, cured",100,250,15,6.2,86,0.00,0.0,0.00,"['Beef', 'Canned', 'Corned Beef', 'Cured']"
"Salsify, raw, (vegetable oyster)",100,82,0.2,0,0,18.60,3.3,0,"['Salsify', 'Raw', '(Vegetable Oyster)']"
"Salad dressing, fat-free, caesar",100,131,0.2,0.1,1,30.73,0.2,8.82,"['Salad Dressing', 'Fat-Free', 'Caesar']"
"Cereals, dry, unenriched, farina",100,369,0.5,0.1,0,78.00,1.9,0,"['Cereals', 'Dry', 'Unenriched', 'Farina']"
"Passion-fruit juice, raw, yellow",100,60,0.2,0,0,14.45,0.2,14.25,"['Passion-Fruit Juice', 'Raw', 'Yellow']"
"Raspberries, unsweetened, frozen",100,52,0.7,0,0,11.94,6.5,4.42,"['Raspberries', 'Unsweetened', 'Frozen']"
"Babyfood, toddler, dices, apples",100,51,0.1,0,0,12.10,0.9,10.83,"['Babyfood', 'Toddler', 'Dices', 'Apples']"
"Pork, dehydrated, oriental style",100,615,62,23,67,1.40,0.0,0.00,"['Pork', 'Dehydrated', 'Oriental Style']"
"Yogurt, whole milk, plain, Greek",100,97,5,2.4,13,3.98,0.0,4.00,"['Yogurt', 'Whole Milk', 'Plain', 'Greek']"
"KEEBLER, Cinnamon Crisp, Grahams",100,430,12,2.7,0,76.30,3.3,26.90,"['Keebler', 'Cinnamon Crisp', 'Grahams']"
"Bison, cooked, grass-fed, ground",100,179,8.6,3.5,71,0.00,0.0,0.00,"['Bison', 'Cooked', 'Grass-Fed', 'Ground']"
"Beans, raw, mature seeds, french",100,343,2,0.2,0,64.11,25.2,0,"['Beans', 'Raw', 'Mature Seeds', 'French']"
"Game meat, roasted, cooked, deer",100,158,3.2,1.3,112,0.00,0.0,0,"['Game Meat', 'Roasted', 'Cooked', 'Deer']"
"Soup, Chinese restaurant, wonton",100,32,0.3,0.1,4,5.25,0.2,0.34,"['Soup', 'Chinese Restaurant', 'Wonton']"
"Beans, raw, mature seeds, adzuki",100,329,0.5,0.2,0,62.90,12.7,0,"['Beans', 'Raw', 'Mature Seeds', 'Adzuki']"
"Salad dressing, bacon and tomato",100,326,35,5.4,4,2.00,0.2,2.00,"['Salad Dressing', 'Bacon And Tomato']"
"Fish, dry heat, cooked, tilefish",100,147,4.7,0.9,64,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Tilefish']"
"Passion-fruit juice, raw, purple",100,51,0.1,0,0,13.60,0.2,13.40,"['Passion-Fruit Juice', 'Raw', 'Purple']"
"Beverages, brewed, hibiscus, tea",100,0,0,0,0,0.00,0.0,0.00,"['Beverages', 'Brewed', 'Hibiscus', 'Tea']"
"Cheese food, American, cold pack",100,331,24,15,64,8.32,0.0,0,"['Cheese Food', 'American', 'Cold Pack']"
"Cherries, sweetened, dried, tart",100,333,0.7,0.1,0,80.45,2.5,67.15,"['Cherries', 'Sweetened', 'Dried', 'Tart']"
"MOTHER'S, Circus Animal Cookies",100,515,25,25,1,68.30,0.8,43.50,"[""Mother'S"", 'Circus Animal Cookies']"
"Beverages, drinking, tap, water",100,0,0,0,0,0.00,0.0,0.00,"['Beverages', 'Drinking', 'Tap', 'Water']"
"Fish, raw, mixed species, shark",100,130,4.5,0.9,51,0.00,0.0,0.00,"['Fish', 'Raw', 'Mixed Species', 'Shark']"
"English muffins, toasted, wheat",100,243,2.1,0.3,0,48.70,5.0,1.70,"['English Muffins', 'Toasted', 'Wheat']"
"Beans, raw, mature seeds, white",100,333,0.9,0.2,0,60.27,15.2,2.11,"['Beans', 'Raw', 'Mature Seeds', 'White']"
"Fish, dry heat, cooked, tilapia",100,128,2.7,0.9,57,0.00,0.0,0.00,"['Fish', 'Dry Heat', 'Cooked', 'Tilapia']"
"Fast foods, french toast sticks",100,340,18,4,0,41.21,1.4,9.89,"['Fast Foods', 'French Toast Sticks']"
"Crackers, fish-shaped, flavored",100,463,18,2.1,0,65.67,3.1,1.18,"['Crackers', 'Fish-Shaped', 'Flavored']"
"Crackers, seasoned, wafers, rye",100,381,9.2,1.3,0,73.80,20.9,0,"['Crackers', 'Seasoned', 'Wafers', 'Rye']"
"Fish, dry heat, cooked, lingcod",100,109,1.4,0.3,67,0.00,0.0,0,"['Fish', 'Dry Heat', 'Cooked', 'Lingcod']"
"Salami, less sodium, beef, pork",100,396,31,11,90,15.38,0.2,6.21,"['Salami', 'Less Sodium', 'Beef', 'Pork']"
"Corn flour, yellow, whole-grain",100,361,3.9,0.5,0,76.85,7.3,0.64,"['Corn Flour', 'Yellow', 'Whole-Grain']"
"Grapefruit, Florida, white, raw",100,32,0.1,0,0,8.19,0,0,"['Grapefruit', 'Florida', 'White', 'Raw']"
"Nuts, dried, chinese, chestnuts",100,363,1.8,0.3,0,79.76,0,0,"['Nuts', 'Dried', 'Chinese', 'Chestnuts']"
"Soymilk, unfortified, chocolate",100,63,1.5,0.2,0,9.95,0.4,7.86,"['Soymilk', 'Unfortified', 'Chocolate']"
"Bread, oatmeal, reduced-calorie",100,210,3.5,0.6,0,43.30,0,0,"['Bread', 'Oatmeal', 'Reduced-Calorie']"
"Chicken patty, uncooked, frozen",100,292,20,4,45,13.61,1.2,0.00,"['Chicken Patty', 'Uncooked', 'Frozen']"
"Babyfood, tropical fruit medley",100,51,0.1,0,0,12.22,1.3,9.78,"['Babyfood', 'Tropical Fruit Medley']"
"Turkey, raw, all classes, heart",100,140,7.4,1.9,225,0.40,0.0,0.00,"['Turkey', 'Raw', 'All Classes', 'Heart']"
"Turkey, raw, all classes, liver",100,128,5.5,1.7,415,0.00,0.0,0.00,"['Turkey', 'Raw', 'All Classes', 'Liver']"
"Fish, dry heat, cooked, haddock",100,90,0.6,0.1,66,0.00,0.0,0.00,"['Fish', 'Dry Heat', 'Cooked', 'Haddock']"
"Liver sausage, pork, liverwurst",100,326,29,11,158,2.20,0.0,0,"['Liver Sausage', 'Pork', 'Liverwurst']"
"Lima beans, raw, immature seeds",100,113,0.9,0.2,0,20.17,4.9,1.48,"['Lima Beans', 'Raw', 'Immature Seeds']"
"Chicken, raw, giblets, roasting",100,127,5,1.5,236,1.14,0.0,0,"['Chicken', 'Raw', 'Giblets', 'Roasting']"
"Veal, pan-fried, cooked, ground",100,215,12,4.4,77,1.51,0.0,0.00,"['Veal', 'Pan-Fried', 'Cooked', 'Ground']"
"Bread, toasted, sprouted, wheat",100,205,0,0,0,36.82,5.7,2.86,"['Bread', 'Toasted', 'Sprouted', 'Wheat']"
"Carbonated beverage, cream soda",100,51,0,0,0,13.30,0.0,13.30,"['Carbonated Beverage', 'Cream Soda']"
"Beverages, Malt liquor beverage",100,40,0,0,0,0.00,0.0,0.00,"['Beverages', 'Malt Liquor Beverage']"
"Alcoholic beverages, rose, wine",100,83,0,0,0,3.80,0.0,3.80,"['Alcoholic Beverages', 'Rose', 'Wine']"
"Babyfood, apple-cranberry juice",100,46,0,0,0,11.49,0.0,6.88,"['Babyfood', 'Apple-Cranberry Juice']"
"KEEBLER, Danish Wedding Cookies",100,504,24,12,0,68.30,2.6,37.90,"['Keebler', 'Danish Wedding Cookies']"
"McDONALD'S, Double Cheeseburger",100,282,16,7,48,18.79,0.8,4.23,"[""Mcdonald'S"", 'Double Cheeseburger']"
"ON THE BORDER, cheese enchilada",100,271,18,7.5,41,16.20,1.8,2.89,"['On The Border', 'Cheese Enchilada']"
"Babyfood, toddler, dices, pears",100,57,0.1,0,0,13.60,1.2,8.66,"['Babyfood', 'Toddler', 'Dices', 'Pears']"
"Egg, hard-boiled, cooked, whole",100,155,11,3.3,373,1.12,0.0,1.12,"['Egg', 'Hard-Boiled', 'Cooked', 'Whole']"
"Eggs, frozen mixture, scrambled",100,131,5.6,1.1,277,7.50,0.0,7.50,"['Eggs', 'Frozen Mixture', 'Scrambled']"
"Puddings, ready-to-eat, tapioca",100,130,3.9,1,1,21.69,0.0,14.91,"['Puddings', 'Ready-To-Eat', 'Tapioca']"
"Emu, broiled, cooked, full rump",100,168,2.7,0.9,129,0.00,0.0,0.00,"['Emu', 'Broiled', 'Cooked', 'Full Rump']"
"Candies, TWIZZLERS CHERRY BITES",100,338,1.7,0.3,0,79.38,0.1,0,"['Candies', 'Twizzlers Cherry Bites']"
"Crustaceans, canned, blue, crab",100,83,0.7,0.2,97,0.00,0.0,0.00,"['Crustaceans', 'Canned', 'Blue', 'Crab']"
"Wheat, uncooked, KAMUT khorasan",100,337,2.1,0.2,0,70.58,11.1,7.84,"['Wheat', 'Uncooked', 'Kamut Khorasan']"
"Sauce, ready-to-serve, cocktail",100,124,1.1,0,0,28.22,1.8,11.83,"['Sauce', 'Ready-To-Serve', 'Cocktail']"
"Babyfood, fruit supreme dessert",100,73,0.2,0,0,17.18,2.0,14.87,"['Babyfood', 'Fruit Supreme Dessert']"
"Noodles, cooked, soba, japanese",100,99,0.1,0,0,21.44,0,0,"['Noodles', 'Cooked', 'Soba', 'Japanese']"
"PACE, Traditional Refried Beans",100,67,0,0,0,10.83,4.2,2.50,"['Pace', 'Traditional Refried Beans']"
"Cake, dry mix, enriched, yellow",100,374,3.5,1.6,0,81.92,1.2,43.29,"['Cake', 'Dry Mix', 'Enriched', 'Yellow']"
"Soup, condensed, canned, tomato",100,66,0.4,0.1,0,15.22,1.1,8.23,"['Soup', 'Condensed', 'Canned', 'Tomato']"
"Sour cream, cultured, imitation",100,208,20,18,0,6.63,0.0,6.63,"['Sour Cream', 'Cultured', 'Imitation']"
"Alcoholic beverage, light, wine",100,49,0,0,0,1.17,0.0,1.15,"['Alcoholic Beverage', 'Light', 'Wine']"
"Soymilk (All flavors), enhanced",100,45,2,0.2,0,3.45,0.4,2.53,"['Soymilk (All Flavors)', 'Enhanced']"
"Cream substitute, light, liquid",100,71,3.5,0.9,0,9.10,0.0,9.10,"['Cream Substitute', 'Light', 'Liquid']"
"Beans, raw, mature seeds, black",100,341,1.4,0.4,0,62.36,15.5,2.12,"['Beans', 'Raw', 'Mature Seeds', 'Black']"
"Seeds, boiled, breadfruit seeds",100,168,2.3,0.6,0,32.00,4.8,0,"['Seeds', 'Boiled', 'Breadfruit Seeds']"
"Seeds, raw, breadnut tree seeds",100,217,1,0.3,0,46.28,0,0,"['Seeds', 'Raw', 'Breadnut Tree Seeds']"
"Snacks, mixed flavors, CLIF BAR",100,346,5.9,1.5,0,65.44,7.4,31.62,"['Snacks', 'Mixed Flavors', 'Clif Bar']"
"Bologna, low fat, beef and pork",100,230,19,7.3,39,2.60,0.0,0.00,"['Bologna', 'Low Fat', 'Beef And Pork']"
"Butter, with salt, stick, light",100,499,55,34,106,0.00,0.0,0.00,"['Butter', 'With Salt', 'Stick', 'Light']"
"Alcoholic beverage, rice (sake)",100,134,0,0,0,5.00,0.0,0.00,"['Alcoholic Beverage', 'Rice (Sake)']"
"Sauce, ready-to-serve, teriyaki",100,89,0,0,0,15.56,0.1,14.10,"['Sauce', 'Ready-To-Serve', 'Teriyaki']"
"Cheese, part skim milk, ricotta",100,138,7.9,4.9,31,5.14,0.0,0.31,"['Cheese', 'Part Skim Milk', 'Ricotta']"
"Game meat, roasted, cooked, elk",100,146,1.9,0.7,73,0.00,0.0,0,"['Game Meat', 'Roasted', 'Cooked', 'Elk']"
"Broadbeans, raw, immature seeds",100,72,0.6,0.1,0,11.70,4.2,0,"['Broadbeans', 'Raw', 'Immature Seeds']"
"Taro, with salt, cooked, shoots",100,14,0.1,0,0,3.19,0,0,"['Taro', 'With Salt', 'Cooked', 'Shoots']"
"Alcoholic beverage, light, beer",100,29,0,0,0,1.64,0.0,0.09,"['Alcoholic Beverage', 'Light', 'Beer']"
"Fish, raw, farmed, coho, salmon",100,160,7.7,1.8,51,0.00,0.0,0,"['Fish', 'Raw', 'Farmed', 'Coho', 'Salmon']"
"Pork, raw, separable fat, fresh",100,632,66,22,72,0.00,0.0,0.00,"['Pork', 'Raw', 'Separable Fat', 'Fresh']"
"Pie fillings, canned, blueberry",100,181,0.2,0,0,44.38,2.6,37.75,"['Pie Fillings', 'Canned', 'Blueberry']"
"Plums, uncooked, dried (prunes)",100,240,0.4,0.1,0,63.88,7.1,38.13,"['Plums', 'Uncooked', 'Dried (Prunes)']"
"Refried beans, fat-free, canned",100,79,0.5,0.1,0,13.50,4.7,0.61,"['Refried Beans', 'Fat-Free', 'Canned']"
"KEEBLER, Cinnamon Toast Grahams",100,429,13,4.3,0,73.90,4.8,26.00,"['Keebler', 'Cinnamon Toast Grahams']"
"Rice, cooked, long-grain, brown",100,123,1,0.3,0,25.58,1.6,0.24,"['Rice', 'Cooked', 'Long-Grain', 'Brown']"
"Fast foods, with cheese, nachos",100,343,22,2.2,3,34.91,3.2,2.17,"['Fast Foods', 'With Cheese', 'Nachos']"
"Babyfood, junior, chicken, meat",100,146,9.6,2.5,59,0.00,0.0,0.00,"['Babyfood', 'Junior', 'Chicken', 'Meat']"
"Kielbasa, grilled, fully cooked",100,337,30,9.9,73,5.03,0.0,2.39,"['Kielbasa', 'Grilled', 'Fully Cooked']"
"Pigeonpeas, raw, immature seeds",100,136,1.6,0.4,0,23.88,5.1,3.00,"['Pigeonpeas', 'Raw', 'Immature Seeds']"
"Crackers, low salt, whole-wheat",100,443,17,3.4,0,68.60,10.5,0.37,"['Crackers', 'Low Salt', 'Whole-Wheat']"
"Squab, raw, meat only, (pigeon)",100,142,7.5,2,90,0.00,0.0,0,"['Squab', 'Raw', 'Meat Only', '(Pigeon)']"
"Babyfood, peach yogurt, dessert",100,76,0.2,0.1,4,17.60,0.4,11.11,"['Babyfood', 'Peach Yogurt', 'Dessert']"
"Babyfood, apple - cherry, juice",100,47,0.1,0,0,11.20,0.3,10.50,"['Babyfood', 'Apple - Cherry', 'Juice']"
"Soup, condensed, canned, cheese",100,82,3.9,2.5,3,11.30,2.2,3.73,"['Soup', 'Condensed', 'Canned', 'Cheese']"
"Winged beans, raw, mature seeds",100,409,16,2.3,0,41.71,25.9,0,"['Winged Beans', 'Raw', 'Mature Seeds']"
"BURGER KING, no cheese, WHOPPER",100,233,13,4.3,30,18.55,1.8,4.22,"['Burger King', 'No Cheese', 'Whopper']"
"Frozen novelties, pop, ice type",100,79,0.2,0,0,19.23,0.0,13.66,"['Frozen Novelties', 'Pop', 'Ice Type']"
